language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the complement,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause: indicative,finite declerative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,intransitive use
French,fra001,avoir tort,be wrong,doxastic evaluative,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always belief-implying,,N/A,N/A,N/A,unacceptable,unacceptable,sur required ,sur required ,sur required ,sur required ,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,fra001,oublier,forget,doxastic: change of state,always veridical,contradictory,neither,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,typically ignorance-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
French,fra001,apprendre,learn,doxastic: change of state,always veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,,,unacceptable,unacceptable,acceptable,acceptable,?,acceptable,unacceptable
French,fra001,douter,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,?,acceptable
French,fra001,être heureux,be happy,emotive factive,typically veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,fra001,être surpris,be surprised,emotive factive,typically veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,fra001,regretter,regret,emotive factive,typically veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,acceptable,acceptable
French,fra001,demander,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,TBC,acceptable,acceptable,acceptable,unacceptable
French,fra001,être curieux (de savoir),be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,unacceptable,de required,de required,de required,de required,unacceptable,unacceptable,de required,de required,unacceptable,de required,acceptable
French,fra001,demander,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,TBC,acceptable,acceptable,acceptable,unacceptable
French,fra001,enqûeter,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,undecided,N/A,N/A,N/A,unacceptable,unacceptable,sur required,sur required,sur required,sur required,unacceptable,unacceptable,unacceptable,sur required,unacceptable,sur required,acceptable
French,fra001,se demander,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable
French,fra001,voir,see,perception,always veridical,contradictory,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,TBC,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable
French,fra001,se soucier,care,predicates of relevance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,neutral between belief and ignorance,gradable,N/A,N/A,N/A,unacceptable,unacceptable,de required,de required,de required,de required,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,unacceptable
French,fra001,prouver,prove,ratification,typically veridical,contradictory,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,??,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,?,unacceptable
