consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity  ,gradability wrt decl,belief/ignorance wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause,finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,concealed q,content DP,Intransitive use
swe1,vara förvånad,be surprised,emotive factive,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible*,incompatible,typically,compatible*,incompatible,compatible,compatible,compatible,focus sensitive,gradable*,typically belief-implying,gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,no,yes,yes,not having an intransitive use
swe1,ångra,regret,emotive factive,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,no,yes,yes,not having an intransitive use
swe1,fråga,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,no,yes,yes,yes,yes,yes*,yes*,yes*,not having an intransitive use
swe1,vara nyfiken (sense 1 & 2),be curious,inquisitive,1: N/A. 2: typically veridical*,1: N/A. 2: typically contradictory,1: N/A. 2: redundant.,1: N/A. 2: typically projective,1: N/A. 2: non-neg-raising,1: N/A. 2: always,1: N/A. 2: incompatible,1: N/A. 2: incompatible,1: N/A. 2: always,1: N/A. 2: incompatible,1: N/A. 2: incompatible,1: N/A. 2: typically,1: N/A. 2: compatible,1: N/A. 2: incompatible,1: N/A. 2: focus sensitive,1: N/A. 2: gradable,1 & 2: always ignorance-implying.,1 & 2: gradable,1: N/A. 2: Q-to-P anti-veridical,1: N/A. 2: Q-to-p non-distributive.,1: N/A. 2: P-to-Q non-distributive,1: no. 2: yes.,1 & 2: yes,1 & 2: yes,1 & 2: yes,1 & 2: yes,1: yes. 2: no.,1 & 2: yes,1 & 2: yes,1 & 2: having an intransitive use
swe1,höra sig för,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,no,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use
swe1,undersöka,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,no,yes,yes,yes,yes,no,yes*,yes,not having an intransitive use
swe1,undra,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,no,yes,yes,yes,yes,no,no,no,not having an intransitive use
swe1,undra över,"wonder at, be surprised",inquisitive (Q) / emotive factive (D),typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,incompatible,typically,compatible,compatible,compatible*,compatible*,compatible*,focus sensitive,gradable,always ignorance-implying,gradable,N/A*,N/A*,N/A*,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swe1,se,see,perception,always veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swe1,bry sig,care,predicates of relevance,N/A,N/A,N/A,typically projective,N/A (or non-neg-raising),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,U/focus sensitive*,gradable,N/A,gradable,N/A,N/A,N/A,yes*,yes*,yes*,yes*,yes*,yes*,yes*,yes*,not having an intransitive use
swe1,bevisa,prove,ratification,always veridical,contradictory,redundant,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no*,no,yes,not having an intransitive use
