language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
italian,apprendere ,learn,doxastic: change of state,typically veridical ,neither,redundant*** ,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,always belief-implying,non gradable,typically Q-to-P veridical,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes?,yes?,???,no,yes,???,???,no,no,yes,no intransitive use
italian,dubitare ,doubt,dubitative,neither,neither,neither,neither,typically neg-raising,incompatible,typically,compatible ,incompatible ,typically,compatible,compatible,compatible,compatible,focus-sensitive,gradable,U (neutral),gradable,neither,Q-to-P non ditributive,typically P-to-Q distributive ,yes,yes?,yes?,no,no,yes,no***,no***,no***,no***,no***,no intransitive use 
italian,essere content*,be happy,emotive factive,always veridical ,contradictory,redundant,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,always belief-implying ***,gradable ,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes?,yes?,no,no,yes,no,no,no,no,yes,intransitive use 
italian,essere sorpres*,be surprised,emotive factive,always veridical ,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,no,no,yes,no,no,no,no,yes,no intransitive use 
italian,rimpiangere/rammaricarsi,regret,emotive factive,always veridical ,contradictory,redundant,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive*** ,gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,???,???,no,no,yes,no,no,no,no,yes (only rammaricarsi) ,no intransitive use (both)
italian,chiedere ,ask,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,typically ignorance implying,undecided,not applicable,not applicable,not applicable,no (different meaning),yes,yes,yes,yes,no (different meaning),yes,yes,yes,yes,yes,no intransitive use 
italian,essere curios*,be curious,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,always ignorance implying*** (di sapere),gradable *** (di sapere),not applicable,not applicable,not applicable,no,yes?,yes?,yes?,yes?,yes,no,no,no,no,yes,no intranstive use*** 
italian,domandare,inquire,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,typically ignorance implying,undecided,not applicable,not applicable,not applicable,no (different meaning),yes,yes,yes,yes,no (different meaning),yes?,yes?,yes?,yes?,yes,no intransitive use 
italian,indagare,investigate,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,always ignorance implying,gradable *** ,not applicable,not applicable,not applicable,no,yes,yes,no***,no***,no,??,??,no,no,yes,no intransitive use 
italian,chiedersi,wonder,inquisitive,not applicable,not applicable,not applicable ,not applicable ,not applicable ,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not tested,not applicable,always ignorance implying,undecided,not applicable,not applicable,not applicable,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no intransitive use
italian,vedere,see,perception,always veridical ,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive,non gradable,always belief-implying,non gradable,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,yes?,yes?,no (see file)***,yes?,yes?,no,no,yes,no intransitive use
italian,importare (qualcosa a qualcuno) ,care ,predicates of relevance,typically veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,typical,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,always ignorance implying,gradable,neither,Q-to-P non distributive ,P-to-Q non distributive,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no intransitive use 
italian,dimostrare ,prove ,ratification,typically veridical ,contradictory ,redundant***,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive*** ,non gradable ***,always belief-implying ,non gradable *** ,typically Q-to-P veridical,typically Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes ,no,no,yes,no,no,no,no,yes,no intransitive use
italian,dire,say,communication,typically veridical ,neither,neither ,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,undecided ,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive ,yes,yes,yes,yes,yes,yes,??,yes,yes,yes,yes,no intransitive use 
